km_driven,mileage,engine,max_power,seats,fuel_code,seller_type_code,transmission_code,owner_code,age
0.09699939799959867,0.4242424242424243,0.2093959731543624,0.1141304347826087,0.09999999999999998,0.3333333333333333,0.5,1.0,0.0,0.24
0.07999938666625778,0.36363636363636365,0.2932885906040268,0.19293478260869562,0.09999999999999998,0.3333333333333333,0.5,1.0,0.5,0.24
0.09333272888848593,0.24242424242424243,0.2929530201342282,0.125,0.09999999999999998,1.0,0.5,1.0,1.0,0.56
0.08466605644403763,0.4242424242424243,0.25906040268456376,0.15760869565217392,0.09999999999999998,0.3333333333333333,0.5,1.0,0.0,0.39999999999999997
0.07999938666625778,0.21212121212121215,0.22617449664429531,0.15217391304347827,0.09999999999999998,1.0,0.5,1.0,0.0,0.52
0.029999353332902223,0.33333333333333337,0.19228187919463088,0.1331521739130435,0.09999999999999998,1.0,0.5,1.0,0.0,0.12000000000000001
0.11666607777738519,0.24242424242424243,0.14664429530201342,0.06793478260869565,0.09999999999999998,0.6666666666666666,0.5,1.0,0.0,0.52
0.0033326688884459258,0.21212121212121215,0.057718120805369116,0.013586956521739135,0.0,1.0,0.5,1.0,0.5,0.76
0.05999937333291556,0.4242424242424243,0.2483221476510067,0.09510869565217392,0.09999999999999998,0.3333333333333333,0.5,1.0,0.0,0.36
0.11266607511071675,0.33333333333333337,0.2600671140939598,0.09782608695652173,0.09999999999999998,0.3333333333333333,0.5,1.0,0.0,0.27999999999999997
0.04533269688846459,0.3030303030303031,0.2808724832214765,0.20652173913043476,0.09999999999999998,0.3333333333333333,0.5,1.0,0.5,0.24
0.06666604444402963,0.24242424242424243,0.12382550335570472,0.07608695652173914,0.09999999999999998,1.0,0.5,1.0,0.5,0.6000000000000001
0.09333272888848593,0.3030303030303031,0.2093959731543624,0.11141304347826086,0.09999999999999998,0.3333333333333333,0.5,1.0,0.5,0.44
0.05999937333291556,0.2727272727272727,0.14664429530201342,0.09510869565217392,0.09999999999999998,1.0,0.5,1.0,0.5,0.44
0.026666017777345185,0.2727272727272727,0.19261744966442954,0.1358695652173913,0.09999999999999998,1.0,0.5,1.0,0.0,0.15999999999999998
0.04666603111068741,0.4545454545454546,0.2093959731543624,0.15217391304347827,0.30000000000000004,0.3333333333333333,0.5,1.0,0.5,0.15999999999999998
0.03533269022179348,0.4242424242424243,0.25906040268456376,0.15760869565217392,0.09999999999999998,0.3333333333333333,0.5,1.0,0.5,0.32
0.06666604444402963,0.39393939393939403,0.25906040268456376,0.15217391304347827,0.09999999999999998,0.3333333333333333,0.5,1.0,0.0,0.15999999999999998
0.06666604444402963,0.36363636363636365,0.2808724832214765,0.08695652173913043,0.09999999999999998,0.3333333333333333,0.5,1.0,0.5,0.36
0.03333268888845926,0.48484848484848486,0.2932885906040268,0.17934782608695654,0.09999999999999998,0.3333333333333333,0.5,1.0,0.0,0.12000000000000001
